customer_id,total_open_amount,total_paid_amount,avg_past_due_days,late_payment_percentage,payment_behavior_tag
CUS00001,501340.93,0.0,282.0,0.0,Late Payer
CUS00005,1344598.0899999999,0.0,232.5,0.0,Late Payer
CUS00006,498974.14,0.0,-13.0,0.0,Early Payer
CUS00008,1193449.06,60967.91,268.5,100.0,Late Payer
CUS00010,887945.74,0.0,243.0,0.0,Late Payer
CUS00016,1064176.94,0.0,-8.5,0.0,Early Payer
CUS00017,234936.42,0.0,223.0,0.0,Late Payer
CUS00018,783063.86,0.0,150.0,0.0,Late Payer
CUS00021,924732.95,1713123.4500000002,-7.5,100.0,Early Payer
CUS00022,543633.71,0.0,285.0,0.0,Late Payer
CUS00024,1676479.5,0.0,27.67,0.0,Late Payer
CUS00026,511179.71,0.0,224.0,0.0,Late Payer
CUS00027,117283.44,0.0,218.0,0.0,Late Payer
CUS00029,552782.2,0.0,169.0,0.0,Late Payer
CUS00035,907567.75,0.0,-31.0,0.0,Early Payer
CUS00036,644486.05,0.0,301.0,0.0,Late Payer
CUS00037,873561.38,0.0,139.0,0.0,Late Payer
CUS00038,653831.56,439843.6,5.0,100.0,On-Time
CUS00039,559117.21,0.0,-46.0,0.0,Early Payer
CUS00040,394050.65,0.0,140.0,0.0,Late Payer
CUS00041,3696.36,0.0,289.0,0.0,Late Payer
CUS00052,181734.33,0.0,90.0,0.0,Late Payer
CUS00059,568035.19,0.0,-30.0,0.0,Early Payer
CUS00063,441353.03,0.0,250.0,0.0,Late Payer
CUS00067,649580.19,0.0,132.0,0.0,Late Payer
CUS00068,798261.87,0.0,84.0,0.0,Late Payer
CUS00069,454865.75,0.0,155.0,0.0,Late Payer
CUS00072,80348.49,0.0,64.0,0.0,Late Payer
CUS00077,915734.21,0.0,135.5,0.0,Late Payer
CUS00082,921417.3,0.0,52.0,0.0,Late Payer
CUS00084,743932.03,0.0,66.0,0.0,Late Payer
CUS00085,262161.85,0.0,240.0,0.0,Late Payer
CUS00088,289767.46,0.0,286.0,0.0,Late Payer
CUS00090,957537.46,0.0,142.0,0.0,Late Payer
CUS00091,665184.56,0.0,210.0,0.0,Late Payer
CUS00092,333367.95,0.0,267.0,0.0,Late Payer
CUS00093,97785.77,0.0,128.0,0.0,Late Payer
CUS00094,955571.49,0.0,118.0,0.0,Late Payer
CUS00095,530945.74,0.0,49.0,0.0,Late Payer
CUS00096,741044.71,0.0,160.0,0.0,Late Payer
CUS00098,471176.94,0.0,33.0,0.0,Late Payer
CUS00103,919837.04,0.0,204.0,0.0,Late Payer
CUS00105,1596559.22,0.0,236.0,0.0,Late Payer
CUS00108,816100.9299999999,0.0,193.0,0.0,Late Payer
CUS00112,646033.08,0.0,16.0,0.0,Late Payer
CUS00113,265999.87,0.0,22.0,0.0,Late Payer
CUS00118,645757.55,0.0,231.0,0.0,Late Payer
CUS00120,300502.71,0.0,-29.0,0.0,Early Payer
CUS00126,596372.52,367157.32,256.0,100.0,Late Payer
CUS00132,159705.08,0.0,54.0,0.0,Late Payer
CUS00133,305700.86,985020.19,-58.0,100.0,Early Payer
CUS00134,96031.99,0.0,68.0,0.0,Late Payer
CUS00137,457619.54,0.0,-7.0,0.0,Early Payer
