invoice_no,customer_id,amountall,create_date,due_date,status,paid_date
INV0077747,CUS88536,527367.7,2024-11-28,2025-01-27,0,2025-07-13
INV0068829,CUS17886,451.6,2025-03-03,2025-04-02,0,2025-07-13
INV0048736,CUS87155,908938.69,2025-07-10,2025-08-09,0,2025-07-13
INV0044742,CUS56369,175686.71,2024-09-16,2024-11-15,0,2025-07-13
INV0029196,CUS80917,863543.02,2025-01-23,2025-03-24,0,2025-07-13
INV0016623,CUS99363,278312.56,2024-07-23,2024-09-21,0,2025-07-13
INV0034813,CUS98027,602457.13,2025-03-29,2025-04-28,0,2025-07-13
INV0072322,CUS67586,398750.35,2024-07-24,2024-09-22,0,2025-07-13
INV0060226,CUS63716,746629.07,2024-08-18,2024-09-17,0,2025-07-13
INV0018277,CUS40380,12902.71,2025-02-09,2025-04-10,0,2025-07-13
INV0053974,CUS13252,748955.78,2025-04-06,2025-05-06,0,2025-07-13
INV0014798,CUS67367,883289.04,2024-09-20,2024-11-19,0,2025-07-13
INV0055134,CUS84632,615708.34,2024-09-11,2024-10-11,0,2025-07-13
INV0041449,CUS71909,223770.58,2025-02-04,2025-03-06,0,2025-07-13
INV0078986,CUS41312,531769.19,2024-09-16,2024-11-15,0,2025-07-13
INV0071859,CUS58667,399250.1,2024-07-15,2024-08-14,0,2025-07-13
INV0040067,CUS97258,239360.53,2025-04-14,2025-05-14,0,2025-07-13
INV0004597,CUS83190,709884.76,2025-05-30,2025-06-29,0,2025-07-13
INV0071914,CUS65320,591105.54,2024-08-27,2024-09-26,0,2025-07-13
INV0070534,CUS06870,153060.84,2024-08-01,2024-09-30,0,2025-07-13
INV0068489,CUS84097,111481.45,2025-06-12,2025-07-12,0,2025-07-13
INV0017363,CUS54991,408392.85,2025-03-01,2025-03-31,0,2025-07-13
INV0024902,CUS89634,665562.83,2025-02-05,2025-04-06,0,2025-07-13
INV0080179,CUS86881,505757.08,2024-10-06,2024-11-05,0,2025-07-13
INV0062062,CUS73562,659411.76,2024-08-20,2024-10-19,0,2025-07-13
INV0030900,CUS12689,587542.05,2025-05-29,2025-06-28,0,2025-07-13
INV0072459,CUS12019,681899.93,2025-07-06,2025-09-04,0,2025-07-13
INV0040938,CUS84945,804689.39,2025-04-11,2025-06-10,0,2025-07-13
INV0054095,CUS68262,809669.59,2024-09-07,2024-11-06,0,2025-07-13
INV0059434,CUS73392,586663.81,2025-06-30,2025-08-29,0,2025-07-13
INV0073184,CUS27413,405272.32,2024-07-31,2024-09-29,0,2025-07-13
INV0074972,CUS53089,712542.67,2025-03-23,2025-04-22,0,2025-07-13
INV0000391,CUS61358,786762.33,2024-12-17,2025-02-15,0,2025-07-13
INV0075073,CUS01640,991111.01,2024-11-14,2025-01-13,0,2025-07-13
INV0080152,CUS77822,188041.32,2024-12-27,2025-01-26,0,2025-07-13
INV0048776,CUS25485,475920.1,2024-07-14,2024-09-12,0,2025-07-13
INV0056917,CUS67458,225009.04,2024-12-11,2025-01-10,0,2025-07-13
INV0047826,CUS17522,426536.71,2024-08-07,2024-09-06,0,2025-07-13
INV0029755,CUS54392,31687.56,2025-02-26,2025-03-28,0,2025-07-13
INV0010983,CUS54992,151086.02,2025-05-27,2025-07-26,0,2025-07-13
INV0020425,CUS15399,970201.08,2024-12-10,2025-02-08,0,2025-07-13
INV0080828,CUS41203,876209.7,2024-10-24,2024-12-23,0,2025-07-13
INV0071237,CUS65643,627755.88,2024-08-07,2024-10-06,0,2025-07-13
INV0074249,CUS24549,840386.91,2024-11-02,2024-12-02,0,2025-07-13
INV0031462,CUS81298,842055.1,2024-08-01,2024-08-31,0,2025-07-13
INV0041779,CUS14964,320712.84,2024-11-19,2025-01-18,0,2025-07-13
INV0005891,CUS80580,711478.77,2024-12-04,2025-02-02,0,2025-07-13
INV0061037,CUS85423,889296.38,2024-12-20,2025-01-19,0,2025-07-13
INV0050334,CUS29710,121288.9,2024-10-04,2024-12-03,0,2025-07-13
INV0001785,CUS37402,220911.56,2025-02-14,2025-03-16,0,2025-07-13
INV0044886,CUS58080,489925.18,2025-07-07,2025-08-06,0,2025-07-13
INV0051583,CUS23328,818314.49,2024-11-12,2025-01-11,0,2025-07-13
INV0020432,CUS88153,596194.87,2025-05-23,2025-07-22,0,2025-07-13
INV0018091,CUS08971,684352.66,2024-09-01,2024-10-31,0,2025-07-13
INV0024559,CUS53329,295095.03,2025-03-10,2025-05-09,0,2025-07-13
INV0059097,CUS82375,752527.45,2024-08-09,2024-09-08,0,2025-07-13
INV0023341,CUS06644,517953.31,2025-02-06,2025-03-08,0,2025-07-13
INV0031667,CUS94243,259890.0,2024-12-08,2025-01-07,0,2025-07-13
INV0048977,CUS27443,51936.68,2025-02-16,2025-04-17,0,2025-07-13
INV0037981,CUS32782,843116.34,2025-01-12,2025-03-13,0,2025-07-13
INV0004611,CUS44753,452362.81,2024-12-25,2025-02-23,0,2025-07-13
INV0017069,CUS04524,697486.11,2025-06-18,2025-08-17,0,2025-07-13
INV0021555,CUS84048,880959.32,2024-08-02,2024-09-01,0,2025-07-13
INV0007362,CUS25576,256919.47,2025-03-18,2025-04-17,0,2025-07-13
INV0045600,CUS54415,663845.56,2025-01-06,2025-02-05,0,2025-07-13
INV0064773,CUS97171,627278.48,2024-11-18,2024-12-18,0,2025-07-13
INV0025884,CUS13644,750856.07,2024-09-01,2024-10-01,0,2025-07-13
INV0045989,CUS30729,885880.63,2024-10-30,2024-12-29,0,2025-07-13
INV0057664,CUS56718,42014.02,2024-09-19,2024-10-19,0,2025-07-13
INV0049255,CUS00600,547605.92,2024-10-29,2024-12-28,0,2025-07-13
INV0024395,CUS74340,445295.75,2025-03-23,2025-04-22,0,2025-07-13
INV0042570,CUS57172,481092.91,2024-08-24,2024-09-23,0,2025-07-13
INV0049008,CUS12534,76601.3,2024-11-01,2024-12-01,0,2025-07-13
INV0047408,CUS11500,267962.73,2024-12-01,2024-12-31,0,2025-07-13
INV0065374,CUS30335,75532.26,2025-05-13,2025-06-12,0,2025-07-13
INV0022009,CUS51839,36769.27,2025-05-27,2025-06-26,0,2025-07-13
INV0068512,CUS29504,33654.42,2024-08-06,2024-10-05,0,2025-07-13
INV0049200,CUS19433,213576.47,2025-02-11,2025-04-12,0,2025-07-13
INV0078908,CUS41212,956362.71,2025-06-22,2025-08-21,0,2025-07-13
INV0068398,CUS92327,56938.13,2024-10-10,2024-12-09,0,2025-07-13
INV0040721,CUS87698,403567.2,2024-09-28,2024-11-27,0,2025-07-13
INV0034616,CUS83306,132458.93,2024-11-29,2025-01-28,0,2025-07-13
INV0040324,CUS90347,782185.53,2025-02-07,2025-03-09,0,2025-07-13
INV0013933,CUS26290,787116.85,2025-02-07,2025-03-09,0,2025-07-13
INV0057512,CUS61766,54640.04,2025-05-14,2025-07-13,0,2025-07-13
INV0021974,CUS84183,965408.55,2024-11-08,2024-12-08,0,2025-07-13
INV0034804,CUS30042,362803.92,2025-07-12,2025-09-10,0,2025-07-13
INV0067645,CUS81537,684294.66,2024-07-13,2024-08-12,0,2025-07-13
INV0047199,CUS99344,844698.48,2025-05-15,2025-07-14,0,2025-07-13
INV0059076,CUS85495,920274.4,2025-04-15,2025-06-14,0,2025-07-13
INV0046657,CUS59614,220500.53,2024-12-09,2025-02-07,0,2025-07-13
INV0045057,CUS51409,593166.06,2024-11-16,2024-12-16,0,2025-07-13
INV0031465,CUS37387,80533.76,2025-03-30,2025-04-29,0,2025-07-13
INV0038284,CUS23491,296349.18,2024-10-13,2024-11-12,0,2025-07-13
INV0038751,CUS01368,494031.52,2024-09-20,2024-11-19,0,2025-07-13
INV0070840,CUS10498,782358.59,2025-04-28,2025-05-28,0,2025-07-13
INV0066495,CUS99290,710333.14,2024-11-16,2024-12-16,0,2025-07-13
INV0019017,CUS95392,409455.8,2024-07-30,2024-08-29,0,2025-07-13
INV0020272,CUS63043,175501.91,2024-09-13,2024-11-12,0,2025-07-13
INV0061687,CUS30289,395193.5,2024-07-18,2024-09-16,0,2025-07-13
INV0045561,CUS06395,473044.1,2025-07-06,2025-08-05,0,2025-07-13
INV0076893,CUS25979,491423.95,2024-09-29,2024-11-28,0,2025-07-13
INV0038805,CUS37379,318242.77,2024-09-15,2024-11-14,0,2025-07-13
INV0054930,CUS27835,271104.56,2025-05-05,2025-06-04,0,2025-07-13
INV0051345,CUS35898,515938.54,2025-04-07,2025-05-07,0,2025-07-13
INV0011510,CUS97896,501342.89,2025-04-26,2025-06-25,0,2025-07-13
INV0050404,CUS55498,647259.59,2024-10-11,2024-12-10,0,2025-07-13
INV0003009,CUS76598,583790.81,2025-03-26,2025-05-25,0,2025-07-13
INV0021441,CUS48238,359346.2,2025-06-14,2025-08-13,0,2025-07-13
INV0067376,CUS79607,420117.92,2025-06-01,2025-07-31,0,2025-07-13
INV0052924,CUS24063,809865.65,2025-05-29,2025-07-28,0,2025-07-13
INV0013256,CUS22051,34006.32,2025-04-08,2025-06-07,0,2025-07-13
INV0047949,CUS29531,165047.43,2024-11-10,2025-01-09,0,2025-07-13
INV0007789,CUS89130,772100.96,2025-03-14,2025-05-13,0,2025-07-13
INV0007969,CUS72346,474735.4,2024-11-17,2025-01-16,0,2025-07-13
INV0046823,CUS52152,756051.47,2025-05-04,2025-06-03,0,2025-07-13
INV0004490,CUS32622,49846.6,2024-10-30,2024-12-29,0,2025-07-13
INV0075695,CUS22673,968054.81,2025-05-11,2025-06-10,0,2025-07-13
INV0063333,CUS70116,715669.72,2024-12-26,2025-02-24,0,2025-07-13
INV0025886,CUS16351,525616.25,2025-02-26,2025-03-28,0,2025-07-13
INV0003148,CUS24217,595138.63,2025-01-26,2025-02-25,0,2025-07-13
INV0056004,CUS34922,407727.96,2025-01-12,2025-03-13,0,2025-07-13
INV0036277,CUS99196,93463.02,2025-02-13,2025-03-15,0,2025-07-13
INV0006414,CUS19436,950861.18,2024-10-12,2024-12-11,0,2025-07-13
INV0019262,CUS70924,13765.95,2024-07-19,2024-08-18,0,2025-07-13
INV0014810,CUS97490,451494.52,2024-10-20,2024-12-19,0,2025-07-13
INV0002134,CUS80917,853817.51,2025-01-10,2025-03-11,0,2025-07-13
INV0072892,CUS65298,221472.82,2025-06-10,2025-08-09,0,2025-07-13
INV0073888,CUS62806,455011.68,2024-11-25,2025-01-24,0,2025-07-13
INV0022048,CUS75349,918532.22,2025-04-19,2025-06-18,0,2025-07-13
INV0059788,CUS45432,316220.61,2024-10-21,2024-12-20,0,2025-07-13
INV0002924,CUS89488,701282.73,2024-11-13,2025-01-12,0,2025-07-13
INV0079682,CUS96830,653496.53,2024-10-19,2024-11-18,0,2025-07-13
INV0031067,CUS17566,390917.51,2025-01-18,2025-03-19,0,2025-07-13
INV0060612,CUS86915,560122.43,2025-03-21,2025-04-20,0,2025-07-13
INV0025083,CUS92790,721543.45,2025-03-21,2025-04-20,0,2025-07-13
INV0071752,CUS49656,864143.51,2024-09-27,2024-11-26,0,2025-07-13
